投資風格,狗的名稱,核心/衛星/ETF,基金名稱,投資標的說明文字,統編,ISINCODE,幣別,風險等級
"馬爾濟斯型投資人資金規模不一定大，但對世界充滿好奇。他們偏好低門檻、可探索不同市場的基金配置，在控制風險的前提下，體驗投資帶來的視野擴張。","口袋濟斯","核心基金","PGIM全球生態友善ESG多重","投資於全球生態友善及ESG相關之多重資產，追求長期穩健回報。","98641176","TW000T0848A9","TWD","4"
"馬爾濟斯型投資人資金規模不一定大，但對世界充滿好奇。他們偏好低門檻、可探索不同市場的基金配置，在控制風險的前提下，體驗投資帶來的視野擴張。","口袋濟斯","核心基金","元大臺灣ESG永續ETF連結","連結元大臺灣ESG永續ETF，參與台灣ESG表現優異企業之投資。","98641767","TW000T05C3A3","TWD","4"
"馬爾濟斯型投資人資金規模不一定大，但對世界充滿好奇。他們偏好低門檻、可探索不同市場的基金配置，在控制風險的前提下，體驗投資帶來的視野擴張。","口袋濟斯","核心基金","中國信託ESG金融收益多重","投資於全球ESG表現優良之金融資產，追求穩定收益。","98641425","TW000T2623A4","TWD","4"
"馬爾濟斯型投資人資金規模不一定大，但對世界充滿好奇。他們偏好低門檻、可探索不同市場的基金配置，在控制風險的前提下，體驗投資帶來的視野擴張。","口袋濟斯","衛星基金","台新ESG環保愛地球成長基金","投資於全球環保及ESG相關產業，追求長期資本增值。","98640652","TW000T4769A3","TWD","4"
"馬爾濟斯型投資人資金規模不一定大，但對世界充滿好奇。他們偏好低門檻、可探索不同市場的基金配置，在控制風險的前提下，體驗投資帶來的視野擴張。","口袋濟斯","衛星基金","法盛Mirova全球永續股票","投資於全球致力於永續發展之企業，追求長期資本增值。","C0115029","LU1623119135","TWD","4"
"馬爾濟斯型投資人資金規模不一定大，但對世界充滿好奇。他們偏好低門檻、可探索不同市場的基金配置，在控制風險的前提下，體驗投資帶來的視野擴張。","口袋濟斯","衛星基金","中國信託ESG碳商機多重","聚焦全球減碳趨勢與碳商機，投資於相關之多重資產。","98641053","TW000T2622A6","TWD","4"
"馬爾濟斯型投資人資金規模不一定大，但對世界充滿好奇。他們偏好低門檻、可探索不同市場的基金配置，在控制風險的前提下，體驗投資帶來的視野擴張。","口袋濟斯","ETF","元大臺灣ESG永續","追蹤臺灣永續指數，投資於台灣ESG表現優異之企業。","00850","TW0000085006","TWD","4"
"西施犬型投資人講究生活品質與節奏，不急著進出市場。穩健、管理風格一致的基金，讓資產在不被打擾的狀態下，優雅累積。","口袋西施","核心基金","PGIM保德信大中華基金","投資於大中華地區(中、港、台)之上市股票，追求長期資本增值。","73998065","TW000T0809Y1","TWD","4"
"西施犬型投資人講究生活品質與節奏，不急著進出市場。穩健、管理風格一致的基金，讓資產在不被打擾的狀態下，優雅累積。","口袋西施","核心基金","PGIM保德信中國品牌基金","聚焦中國具備品牌優勢與內需成長潛力之企業，追求資本增值。","98637127","TW000T0832Y3","TWD","4"
"西施犬型投資人講究生活品質與節奏，不急著進出市場。穩健、管理風格一致的基金，讓資產在不被打擾的狀態下，優雅累積。","口袋西施","核心基金","統一大龍騰中國基金","投資於中國大陸及香港等大中華經濟圈之股票，追求長期資本增值。","98637551","TW000T0931Y3","TWD","4"
"西施犬型投資人講究生活品質與節奏，不急著進出市場。穩健、管理風格一致的基金，讓資產在不被打擾的狀態下，優雅累積。","口袋西施","衛星基金","PGIM保德信中國中小基金","投資於中國中小型企業，掌握其高成長潛力。","98637537","TW000T0836Y4","TWD","4"
"西施犬型投資人講究生活品質與節奏，不急著進出市場。穩健、管理風格一致的基金，讓資產在不被打擾的狀態下，優雅累積。","口袋西施","衛星基金","統一大中華中小基金","投資於大中華地區之中小型股票，追求長期資本增值。","98637078","TW000T0924Y8","TWD","4"
"西施犬型投資人講究生活品質與節奏，不急著進出市場。穩健、管理風格一致的基金，讓資產在不被打擾的狀態下，優雅累積。","口袋西施","衛星基金","台新中國精選中小基金","精選中國具備高成長潛力之中小型企業進行投資。","98637071","TW000T4711Y5","TWD","4"
"西施犬型投資人講究生活品質與節奏，不急著進出市場。穩健、管理風格一致的基金，讓資產在不被打擾的狀態下，優雅累積。","口袋西施","ETF","元大寶滬深","追蹤滬深300指數，提供投資人參與中國A股市場之管道。","0061","TW0000061007","TWD","4"
"吉娃娃型投資人情緒敏感、反應快速，容易受市場波動影響。透過分散配置與小額定期投入的基金策略，有助於在高壓情緒中維持投資穩定度.","口袋吉娃","核心基金","PGIM保德信策略成長ETF組合","透過投資全球ETF，進行動態資產配置，追求長期穩健成長。","98638350","TW000T0839A8","TWD","4"
"吉娃娃型投資人情緒敏感、反應快速，容易受市場波動影響。透過分散配置與小額定期投入的基金策略，有助於在高壓情緒中維持投資穩定度.","口袋吉娃","核心基金","元大全球ETF穩健組合基金","投資於全球各類資產之ETF，追求穩健之投資回報。","98636726","TW000T0575Y8","TWD","4"
"吉娃娃型投資人情緒敏感、反應快速，容易受市場波動影響。透過分散配置與小額定期投入的基金策略，有助於在高壓情緒中維持投資穩定度.","口袋吉娃","核心基金","台新全球多元資產組合基金","透過投資組合基金，分散佈局全球多元資產，追求穩健增值。","98638113","TW000T4753A7","TWD","4"
"吉娃娃型投資人情緒敏感、反應快速，容易受市場波動影響。透過分散配置與小額定期投入的基金策略，有助於在高壓情緒中維持投資穩定度.","口袋吉娃","衛星基金","PGIM保德信全球新供應鏈基金","投資於全球供應鏈重組趨勢下之受惠企業，追求資本增值。","98641041","TW000T0847A1","TWD","4"
"吉娃娃型投資人情緒敏感、反應快速，容易受市場波動影響。透過分散配置與小額定期投入的基金策略，有助於在高壓情緒中維持投資穩定度.","口袋吉娃","衛星基金","元大全球地產建設入息基金","投資於全球不動產及基礎建設相關證券，追求穩定入息與資本增值。","98636878","TW000T0542A8","TWD","4"
"吉娃娃型投資人情緒敏感、反應快速，容易受市場波動影響。透過分散配置與小額定期投入的基金策略，有助於在高壓情緒中維持投資穩定度.","口袋吉娃","衛星基金","華南永昌ShillerUSCAPEETF","追蹤Shiller US CAPE指數，透過價值投資策略參與美國股市。","98638435","TW000T1259A8","TWD","4"
"吉娃娃型投資人情緒敏感、反應快速，容易受市場波動影響。透過分散配置與小額定期投入的基金策略，有助於在高壓情緒中維持投資穩定度.","口袋吉娃","ETF","第一金太空衛星","追蹤太空衛星相關產業指數，掌握太空科技發展商機。","00910","","TWD","4"
